experiment_id,experiment_name,chunk_size,chunk_overlap,embedding_model,retriever_type,top_k,llm_model,dataset_path,faithfulness,answer_relevancy,context_recall,context_precision,overall_score,avg_latency_ms,total_cost_usd,timestamp,notes
f56b2fa7-7cba-413b-a05b-3f6619391f7e,rag_survey_cs128_dense_all_MiniLM_L6_v2,128,20,all-MiniLM-L6-v2,dense,5,llama3.2,data/raw/rag_survey_2024.pdf,0.5777777777777778,0.3117531854530568,0.3333333333333333,0.33333333332666665,0.3890494074727086,3327.18825340271,0.0,2026-02-23T09:02:15.876861+00:00,
2ef13d4a-d64c-42db-8c0b-20a525ea071c,rag_survey_cs128_dense_all_mpnet_base_v2,128,20,all-mpnet-base-v2,dense,5,llama3.2,data/raw/rag_survey_2024.pdf,0.6388888888888888,0.4670344565938252,0.6666666666666666,0.333333333325,0.5264808363685952,3828.2523949941,0.0,2026-02-23T09:09:20.266402+00:00,
4262d223-7139-406e-941f-9f44cd6fc7cf,rag_survey_cs128_sparse_all_MiniLM_L6_v2,128,20,all-MiniLM-L6-v2,sparse,5,llama3.2,data/raw/rag_survey_2024.pdf,0.8888888888888888,0.6157483866633179,0.8333333333333334,0.5851851851434567,0.7307889485072492,2767.34725634257,0.0,2026-02-23T09:15:32.910781+00:00,
6cb5f90c-1052-4971-93fd-5ae8bc5ca591,rag_survey_cs128_hybrid_all_MiniLM_L6_v2,128,20,all-MiniLM-L6-v2,hybrid,5,llama3.2,data/raw/rag_survey_2024.pdf,0.5555555555555555,0.46147237116368006,1.0,0.41666666665,0.6084236483423088,3295.2024141947427,0.0,2026-02-23T09:22:06.614965+00:00,
68877101-574b-4185-bf06-a0bd86a6ec79,rag_survey_cs128_hybrid_all_mpnet_base_v2,128,20,all-mpnet-base-v2,hybrid,5,llama3.2,data/raw/rag_survey_2024.pdf,1.0,0.6106148484191047,0.8333333333333334,0.41666666665,0.7151537121006095,2986.005703608195,0.0,2026-02-23T09:31:05.163336+00:00,
1a30daa2-1540-41ab-9857-187f40629129,rag_survey_cs256_dense_all_MiniLM_L6_v2,256,25,all-MiniLM-L6-v2,dense,5,llama3.2,data/raw/rag_survey_2024.pdf,0.6944444444444445,0.4246218203945704,0.6666666666666666,0.21296296295586417,0.4996739736153864,4442.925294240315,0.0,2026-02-23T09:38:13.197067+00:00,
fe52067e-8a35-4ec7-aa2e-188a143258b7,rag_survey_cs256_dense_all_mpnet_base_v2,256,25,all-mpnet-base-v2,dense,5,llama3.2,data/raw/rag_survey_2024.pdf,0.5555555555555555,0.3117531854530568,0.6666666666666666,0.31666666665875,0.4626605185835072,4829.225937525432,0.0,2026-02-23T09:46:00.335168+00:00,
e0c006f9-c896-4921-ade0-c398a01db5da,rag_survey_cs256_sparse_all_MiniLM_L6_v2,256,25,all-MiniLM-L6-v2,sparse,5,llama3.2,data/raw/rag_survey_2024.pdf,0.9333333333333332,0.8099188440657449,1.0,0.5666666666255556,0.8274797110061585,4355.3626537323,0.0,2026-02-23T09:52:45.432886+00:00,
4104ccf2-048c-498c-bb0c-0cee07c3ee64,rag_survey_cs256_hybrid_all_MiniLM_L6_v2,256,25,all-MiniLM-L6-v2,hybrid,5,llama3.2,data/raw/rag_survey_2024.pdf,0.9333333333333332,0.6709671684834034,1.0,0.2796296296147531,0.7209825328578725,3829.0960788726807,0.0,2026-02-23T09:59:39.992788+00:00,
